name;address;station_id;wigos_id;latitude;longitude;elevation;region;province;regency;type_id;time_zone
Stasiun Meteorologi Tampa Padang;Jl. Abdul Malik Pattana Endeng, Rangas, Kec. Simboro dan Kepulauan Kab. Mamuju, Propinsi Sulawesi Barat;97116;;-2.58939;119.02949;0;Region IV;Sulawesi Barat;Kab. Mamuju;Meteorologi;UTC+08:00
Stasiun Meteorologi Syukuran Aminudin Amir;Komplek Bandara SAA Luwuk, Jl. Dr. Moh. Hatta, Desa Bubung, Kec. Luwuk Selatan, Kab. Banggai, Sulawesi Tengah ;97086;;-1.04064;122.771;19;Region IV;Sulawesi Tengah;Kab. Banggai Kepulauan;Meteorologi;UTC+08:00
Stasiun Geofisika Sukabumi;Jl. Jayanti-Citarik, Desa Jayanti, Kecamatan Palabuhanratu, Kabupaten Sukabumi, Jawa Barat;99923;;-6.97043;106.54643;15;Region II;Jawa Barat;Kab. Sukabumi;Geofisika;UTC+07:00
Raden Sadjad TNIAU;;96149;;3.5437;108.2305;2;Region I;Kepulauan Riau;Kab. Natuna;Meteorologi;UTC+07:00
Pangeran Mohammad Bunyamin TNIAU;;96273;;-4.360000134;105.1399994;63;Region II;Jambi;Kab. Kerinci;Meteorologi;UTC+07:00
Harry Hadisoemantri TNIAU;;96533;;1;109;97;Region II;Kalimantan Barat;Kab. Bengkayang;Meteorologi;UTC+07:00
Halim Perdana Kusuma TNIAU;;96747;;-6.27036;106.88926;28;Region II;DKI Jakarta;Kota Adm. Jakarta Timur;Meteorologi;UTC+07:00
Atang Sendjaja TNIAU;;96755;;-6.544456;106.755346;176.784;Region II;Jawa Barat;Kab. Bogor;Meteorologi;UTC+07:00
Surya Darma TNIAU;;96773;;0;0;0;Region II;Jawa Barat;Kab. Subang;Meteorologi;UTC+07:00
Husein Sastra Negara TNIAU;;96781;;-6.90227;107.57627;746.76;Region II;Jawa Barat;Kota Bandung;Meteorologi;UTC+07:00
Wiriadinata TNIAU;;96801;;0;0;0;Region II;Jawa Barat;Kab. Bandung;Meteorologi;UTC+07:00
Adi Soemarmo TNIAU;;96845;;-7.519583;110.75175;127;Region II;Jawa Tengah;Kab. Karanganyar;Meteorologi;UTC+07:00
Adisutjipto TNIAU;;96853;0-20000-0-96853;-7.47;110.26;124;Region II;DI Yogyakarta;Kab. Bantul;Meteorologi;UTC+07:00
Detasemen Pacitan TNIAU;;96857;;0;0;0;Region II;DI Yogyakarta;Kota Yogyakarta;Meteorologi;UTC+07:00
Iswahyudi TNIAU;;96881;;-7.37;111.32;110;Region III;Jawa Timur;Kab. Magetan;Meteorologi;UTC+07:00
Abdul Rahman Saleh TNIAU;;96947;;-7.9372;112.7116;526;Region III;Jawa Timur;Kab. Malang;Meteorologi;UTC+07:00
Haluoleo TNIAU;;97146;;-4.435;122.2512;50;Region IV;Sulawesi Tenggara;Kab. Konawe Selatan;Meteorologi;UTC+08:00
Leowatimena TNIAU;;97404;;0.2;128.9;50;Region IV;Maluku Utara;Kab. Pulau Morotai;Meteorologi;UTC+09:00
Pos Geofisika Liwa;;99921;;-5.01695;104.05891;0;Region II;Lampung;Kab. Lampung Barat;Meteorologi;UTC+07:00
Pos Polusi Udara Cibeureum;;99925;;-6.71066667;106.9501667;1160.45;Region II;Jawa Barat;Kab. Bogor;Klimatologi;UTC+07:00
Pos Meteorologi Melonguane;;97004;;4.0071351;126.6747032;0;Region IV;Sulawesi Utara;Kab. Kepulauan Talaud;Meteorologi;UTC+08:00
Pos Meteorologi Kao;;97410;;0;0;0;Region IV;Maluku Utara;Kab. Halmahera Utara;Meteorologi;UTC+08:00
Pos Meteorologi Bandara Notohadinegoro - Jember;;99927;;-8.246193;113.694912;264;Region III;Jawa Timur;Kab. Jember;Meteorologi;UTC+07:00
Pos Meteorologi Lede Kalumbang - Tambolaka;;99931;;-9.411481;119.243169;0;Region III;Nusa Tenggara Timur;Kab. Sumba Barat Daya;Meteorologi;UTC+08:00
Soewondo TNIAU;;96039;;3.55916;98.67111;27;Region I;Sumatera Utara;Kota Medan;Meteorologi;UTC+07:00
Stasiun Meteorologi Singkawang;Komplek Bandar Udara Singkawang, Kelurahan Pangmilang, Kec. Singkawang Selatan, Kota Singkawang;96531;;0.787194;108.958167;5;Region II;Kalimantan Barat;Kab. Bengkayang;Meteorologi;UTC+07:00
AWOS A. A. Bere Tallo;;99954;;0;0;0;Region III;Nusa Tenggara Timur;Kab. Belu;Meteorologi;UTC+08:00
