name;wmo_id;alamat;wigos_id;latitude;longitude;elevation_m;region_desc;provinsi_name;kabupaten_name;type_MeteorologiKlimatologiGeofisika;time_zone
Stasiun Meteorologi Maritim Tanjung Perak;96937;;-;-7.2053;112.7353;3;Region III;Jawa Timur;Kota Surabaya;Meteorologi;7
Stasiun Meteorologi Tuban;96939;;;0;0;0;Region III;Kalimantan Tengah;Kab. Seruyan;Meteorologi;7
Stasiun Klimatologi Jawa Timur;96943;;;-7.9008;112.5979;590;Region III;Jawa Timur;Kab. Malang;Klimatologi;7
Stasiun Geofisika Pasuruan;96945;;;5.5884;95.3973;8;Region I;Aceh;Kab. Aceh Besar;Geofisika;7
Abdul Rahman Saleh TNIAU;96947;;;0;0;0;Region I;Aceh;Kab. Aceh Selatan;Meteorologi;7
Stasiun Geofisika Malang;96949;;;-2.57;140.48;96;Region V;Papua;Kab. Jayapura;Geofisika;7
Stasiun Meteorologi Trunojoyo;96973;;;-3.25;127.08;10;Region IV;Maluku;Kab. Buru;Meteorologi;7
Stasiun Geofisika Nganjuk;96975;;;-3.3464;128.9284;8;Region IV;Maluku;Kab. Maluku Tengah;Geofisika;7
Stasiun Meteorologi Banyuwangi;96987;;;-8.215;114.3553;52;Region III;Jawa Timur;Kab. Banyuwangi;Meteorologi;7
Pos Meteorologi Melonguane;97004;;;4.05492;97.07628;913;Region I;Aceh;Kab. Gayo Lues;Meteorologi;8
Stasiun Meteorologi Naha;97008;;;5.29846;95.60126;122;Region I;Aceh;Kab. Aceh Besar;Meteorologi;8
Stasiun Geofisika Manado;97010;;;1.4434;124.8389;204;Region IV;Sulawesi Utara;Kota Manado;Geofisika;8
Stasiun Klimatologi Sulawesi Utara;97012;;;1.54585;124.9233;84;Region IV;Sulawesi Utara;Kab. Minahasa Utara;Klimatologi;8
Stasiun Meteorologi Sam Ratulangi;97014;;;1.54575;124.9234;80;Region IV;Sulawesi Utara;Kota Manado;Meteorologi;8
Stasiun Meteorologi Maritim Bitung;97016;;;5.43905;95.40411;22;Region I;Aceh;Kab. Aceh Besar;Meteorologi;8
Stasiun Meteorologi Sultan Bantilan;97028;;;-5.6637;132.7362;10;Region IV;Maluku;Kab. Maluku Tenggara;Meteorologi;8
Stasiun Meteorologi Djalaluddin;97048;;;5.60011;95.38777;3;Region I;Aceh;Kab. Aceh Besar;Meteorologi;8
Stasiun Klimatologi Gorontalo;97052;;;0;0;0;Region IV;Maluku Utara;Kab. Halmahera Timur;Klimatologi;8
Stasiun Meteorologi Mutiara Sis-Al Jufri;97072;;;-0.91589;119.90554;79;Region IV;Sulawesi Tengah;Kota Palu;Meteorologi;8
Stasiun Geofisika Palu;97074;;;-8.52019;140.41568;0;Region V;Papua;Kab. Merauke;Geofisika;8
Stasiun Meteorologi Syukuran Aminudin Amir;97086;;;5.19511;96.69308;27;Region I;Aceh;Kab. Bireuen;Meteorologi;8
